Price,Close,High,Low,Open,Volume
Ticker,HCM.VN,HCM.VN,HCM.VN,HCM.VN,HCM.VN
Date,,,,,
2017-01-02,3785.209716796875,3838.3354714192005,3612.5510142743183,3612.5510142743183,7317462
2017-01-09,3778.56982421875,3838.3361588508956,3692.240307474279,3785.210394713944,7280542
2017-01-16,3692.239013671875,3785.2090683337788,3692.239013671875,3771.927631953507,5711080
2017-01-23,3725.44287109375,3732.083439469583,3612.550508310793,3692.2391290833198,3116854
2017-01-30,3745.364990234375,3785.2093018330784,3725.442984456905,3725.442984456905,1893191
2017-02-06,3898.102294921875,3944.5871825739155,3718.8027138718903,3745.365592542717,14621789
2017-02-13,3997.712158203125,4143.807962325104,3918.0235377729546,3918.0235377729546,17436569
2017-02-20,4130.52783203125,4283.2645528533785,4010.994863578916,4030.9171750095625,19446907
2017-02-27,4070.761474609375,4303.186539696906,3957.8690772485743,4130.527808472741,14087408
2017-03-06,4190.29443359375,4263.342208167346,4037.557713963015,4070.76146607381,14157131
2017-03-13,4289.90576171875,4409.4387479598145,4117.24700381499,4183.654218393359,16825615
2017-03-20,4256.70068359375,4409.437068943405,4223.496938925873,4369.5927553682195,12991439
2017-03-27,4303.185546875,4349.670729193851,4210.215482281076,4263.341233477604,7556708
2017-04-03,4462.5634765625,4575.455864980702,4303.18619882656,4316.467638637889,16448679
2017-04-10,4157.08935546875,4568.8138900402755,4157.08935546875,4442.640392370877,12685616
2017-04-17,4157.08935546875,4236.777975063239,4010.993552878854,4157.08935546875,7501281
2017-04-24,4196.9345703125,4250.060328165112,4110.605363823914,4117.2459335335825,4714539
2017-05-01,4369.59228515625,4455.921771967789,4196.933611576918,4196.933611576918,4706396
2017-05-08,4953.9755859375,5000.46046433636,4369.592371505395,4369.592371505395,25039823
2017-05-15,5226.2451171875,5226.2451171875,4582.095559428499,4887.56861672665,27237081
2017-05-22,5997.8447265625,6311.368768324535,5398.060192315979,5657.058367328331,39390446
2017-05-29,6066.00244140625,6134.159467717338,5479.849058797865,6038.7395077012725,25826035
2017-06-05,5800.189453125,6106.897344011045,5697.953284195385,6066.003245980877,16304095
2017-06-12,5813.8203125,6025.107581476546,5725.215318258574,5786.557379480185,14203953
2017-06-19,6140.97509765625,6154.606255302328,5820.6355021415175,5834.266659787595,18149493
2017-06-26,6079.6328125,6243.210393533254,5956.949934676376,6175.053376054049,11192540
2017-07-03,6134.15966796875,6583.99839673736,6093.265574027641,6134.15966796875,16380020
2017-07-10,5997.8447265625,6229.57996820001,5875.161834327066,6134.159393436709,12262228
2017-07-17,5588.90087890625,5984.2137316123935,5473.033562867598,5984.2137316123935,12529326
2017-07-24,5820.63671875,5847.899655643215,5452.586762740204,5561.638510313064,9392853
2017-07-31,5970.58154296875,5970.58154296875,5793.372791410208,5820.635723642498,9230781
2017-08-07,5643.4267578125,6134.159572918172,5588.900889467425,6025.107836228022,7852169
2017-08-14,5527.560546875,5752.479644798758,5343.535550436084,5616.164946677867,7354153
2017-08-21,5200.40478515625,5568.454743622063,5111.800393637736,5452.5867991256155,509091976
2017-08-28,5384.4296875,5384.4296875,5152.694725670446,5200.404710894953,8261769
2017-09-04,5234.4814453125,5486.663985709427,5234.4814453125,5384.427853975676,7289333
2017-09-11,5711.58349609375,5711.58349609375,5139.061969196631,5207.218985875927,14237081
2017-09-18,5622.97998046875,5786.557584379861,5541.191178513194,5725.215520986152,10567196
2017-09-25,5575.27099609375,5725.216860133753,5493.4821750075125,5616.165098685436,5945374
2017-10-02,5629.79638671875,5650.243744185991,5466.2187587864455,5561.63873379555,6305654
2017-10-09,5902.4248046875,5984.2136053245285,5684.321336322092,5684.321336322092,10980314
2017-10-16,5697.95361328125,6031.92507667969,5697.95361328125,5929.688901845416,9979562
2017-10-23,5479.849609375,5691.137520792997,5302.640830439296,5691.137520792997,8805450
2017-10-30,5479.849609375,5807.0048467050165,5329.903766883464,5479.849609375,7915137
2017-11-06,5657.05859375,5779.741490895772,5486.665407312992,5554.822435526702,5745733
2017-11-13,6161.42333984375,6338.632743867512,5629.796359578085,5629.796359578085,12952065
2017-11-20,6720.3125,6788.469522758104,6052.370351096091,6256.84265117577,14437369
2017-11-27,7061.1005859375,7101.995302393784,6693.051217345116,6747.577095351605,11803630
2017-12-04,7483.67529296875,7647.25290173203,6952.0477565367155,7020.2054014727855,12336208
2017-12-11,7197.41552734375,7497.307866645692,6815.734368232188,7224.6784672802905,10473692
2017-12-18,7742.673828125,7906.251457224179,7224.678002644266,7224.678002644266,5703768
2017-12-25,8192.5126953125,8369.7214872653,7633.622149201654,7769.936841435662,5284407
2018-01-01,8396.982421875,8724.13760516504,8069.827238584961,8192.510740270063,5563998
2018-01-08,8247.0390625,8655.983163514122,8110.72436216196,8437.879642973257,8138791
2018-01-15,8654.2421875,8654.2421875,8049.818880262999,8297.082960496318,9649263
2018-01-22,10316.404296875,10316.404296875,8654.240782211002,8654.240782211002,9197840
2018-01-29,11264.25,11799.989088884196,10385.089548171853,10412.563331687297,10743936
2018-02-05,11126.8837890625,11168.094782394586,9863.08951042665,11058.1996277306,14707845
2018-02-12,10962.0419921875,11429.095818685457,10714.777252434336,11126.884738245451,2592560
2018-02-19,10989.513671875,11195.567386830713,10632.355057861916,10962.040505258134,3238906
2018-02-26,10975.7763671875,11470.30450577914,10714.775094819968,11319.19837532086,14001814
2018-03-05,10247.72265625,11126.883902526994,10124.090295659204,11113.14731838701,10567566
2018-03-12,10810.93359375,10975.776305690268,9794.404157451132,10247.721304953811,7732060
2018-03-19,10838.4091796875,11195.567807108186,10577.407880367857,10852.145763511598,9467712
2018-03-26,10975.7763671875,11099.408091502353,10494.984811001461,10838.408060467047,6988459
2018-04-02,12225.8359375,12569.25800239628,11058.200172053188,11113.14775208989,16477920
2018-04-09,11250.5166015625,12775.31232839668,11126.884851098239,12308.25725582921,14381941
2018-04-16,10989.513671875,11319.19911927122,10577.40748329588,11195.567386830713,11937851
2018-04-23,9821.876953125,11195.56546021532,9135.032389246817,11195.56546021532,8283515
2018-04-30,9766.9306640625,10041.667904842097,9203.717737765697,9821.878236351646,4984737
2018-05-07,9341.0859375,10137.825673343577,9066.348097553939,9835.614049402911,8833996
2018-05-14,9478.4560546875,9959.247645654461,9080.086446781077,9341.087117363535,5351124
2018-05-21,8707.00390625,9643.390882447586,8385.557206719677,9503.631585144485,6584088
2018-05-28,9084.3525390625,9224.111818609097,8106.037582236321,8385.556141329515,8062080
2018-06-04,9629.4140625,9964.83633402046,9014.473231379161,9084.352555546104,6577795
2018-06-11,9363.8720703125,9769.174338809247,9154.233444961083,9433.752033073884,4117188
2018-06-18,8595.1953125,9363.87102856006,8120.01376557329,9363.87102856006,6953668
2018-06-25,7966.279296875,8944.594375794119,7966.279296875001,8804.835078805672,4990613
2018-07-02,7477.1220703125,7826.519996917893,6442.903272990292,7756.640664183367,11744965
2018-07-09,6820.25244140625,7588.9288206803785,6442.9026895829375,7477.121393256238,5946624
2018-07-16,7896.39892578125,7924.3507815034245,6694.46912972773,6806.27655261643,10684991
2018-07-23,7547.0009765625,7994.230701482727,6987.963820412215,7812.543941467058,5193307
2018-07-30,8161.94287109375,8175.919117482032,7588.930029969142,7616.88189127928,5981093
2018-08-06,8343.6298828125,8455.437322659009,7770.616437865946,8161.942477328726,5558537
2018-08-13,7994.2314453125,8483.389318191264,7686.760980821004,8343.630016149675,7640128
2018-08-20,8203.8701171875,8385.55688088868,7966.279005270928,8078.086438768995,5570567
2018-08-27,8623.1494140625,8888.691796653611,8259.775195302875,8273.750811060398,8892200
2018-09-03,8567.244140625,8623.147856490306,8245.797458666315,8623.147856490306,4207963
2018-09-10,8790.861328125,8930.620654736418,8441.462695863194,8567.246405546728,5468642
2018-09-17,9391.82421875,9433.752323993089,8679.052112814987,8804.835165611476,6779749
2018-09-24,9643.390625,9657.366870090382,9126.28155451687,9363.872037856048,6558687
2018-10-01,9377.849609375,9783.151302327524,9377.849609375,9643.391988987609,4664247
2018-10-08,8930.6201171875,9573.512980903233,8343.630980751395,9293.994344505089,4647499
2018-10-15,8525.31640625,8930.618679513967,8441.46082882984,8874.71496123386,2508213
2018-10-22,7365.314453125,8665.075567190319,7141.699583482246,8623.148094865486,4682430
2018-10-29,8036.158203125,8036.158203125,7267.481855153244,7351.3374223065475,2973518
2018-11-05,7547.0009765625,8050.134417097756,7505.073505584402,8036.158803927172,2781836
2018-11-12,7700.73779296875,7966.280170639041,7309.411718479358,7337.363580942886,4539049
2018-11-19,7756.64013671875,8064.110569068196,7700.736421746124,7812.543851691376,2132249
2018-11-26,7630.85693359375,7826.51994808247,7588.929460507927,7756.640615783974,1605870
2018-12-03,8106.87451171875,8191.46798820811,7768.500605761313,7965.885384236484,4837562
2018-12-10,7810.79833984375,8106.875875889997,7810.79833984375,8106.875875889997,2027779
2018-12-17,6993.06103515625,7754.402426885458,6767.478400569818,7712.106001412073,3890064
2018-12-24,6668.58154296875,7088.481082528171,6476.423745047114,7060.01328443319,2498451
2018-12-31,6319.849609375,6803.802106187831,6006.703876143169,6668.580567361017,2786926
2019-01-07,6213.095703125,6433.720618012712,6120.574892913237,6433.720618012712,3777543
2019-01-14,6177.5107421875,6277.148344156707,6092.107358980456,6262.914125394544,3763987
2019-01-21,6476.42236328125,6668.580120205401,6120.574641454231,6234.445809539369,6362285
2019-01-28,6391.02001953125,6576.060375997406,6262.914613182194,6447.95561277038,4607292
2019-02-04,6391.02001953125,6391.02001953125,6391.02001953125,6391.02001953125,0
2019-02-11,7259.28759765625,7401.62658276955,6526.242306664285,6547.592672089751,12065131
2019-02-18,9335.18359375,9601.902978000702,7145.415172400112,7259.2863407749655,7098035
2019-02-25,9801.9423828125,10318.711406984175,9351.85288004774,9351.85288004774,7627459
2019-03-04,9968.640625,10118.670660341204,9568.561602626525,9801.941514685766,4068915
2019-03-11,10268.7021484375,10468.742022013974,9635.243727835614,9735.263343062865,6912290
2019-03-18,9718.5927734375,10502.081191628284,9635.242886981296,10268.701252302148,5437941
2019-03-25,9401.86328125,9651.91294949082,9201.824061154895,9368.52319686017,3501969
2019-04-01,9201.82421875,9535.223138992445,9168.48413378917,9501.883697153566,5606037
2019-04-08,9068.4638671875,9701.922908136841,9068.4638671875,9235.16364865427,7097531
2019-04-15,8535.025390625,9068.4641961732,8535.025390625,9068.4641961732,3856848
2019-04-22,8485.015625,8668.385134924714,8068.266154151127,8334.985558245615,5411729
2019-04-29,8435.005859375,8585.035283758934,8184.9561756131325,8485.015667502978,1847734
2019-05-06,8768.4033203125,8918.433362592867,8234.964599142013,8334.98419858101,5512429
2019-05-13,8901.765625,9185.154767525266,8768.40527190339,8835.085448451695,6302934
2019-05-20,8334.9853515625,9085.134380488982,8301.645909218889,8968.444402920471,5436972
2019-05-27,10002.4091796875,10330.356840159158,9940.91909219374,10248.369529662536,3236333
2019-06-03,9530.9814453125,9838.432587218902,9264.523947145057,9797.438943479943,3223653
2019-06-10,9469.4931640625,9756.447142932268,9387.505861095513,9674.45983996528,2003404
2019-06-17,9838.4345703125,10002.408387562684,9223.532162556296,9592.473449058549,3397912
2019-06-24,9571.9765625,10043.400770415861,9408.001962302968,9838.434101684205,2802109
2019-07-01,10084.392578125,10248.366357607982,9633.464882236092,9756.445019159037,4638130
2019-07-08,9776.9443359375,10125.389214591325,9674.460594613282,10043.401905228988,4725004
2019-07-15,9653.962890625,9879.426775527725,9510.485513524492,9776.943047706976,8874156
2019-07-22,9162.0419921875,9571.9769267657,9141.544771004183,9551.479705582382,5749957
2019-07-29,8629.1259765625,9162.041018580869,8526.64225380841,9162.041018580869,3452945
2019-08-05,8280.6806640625,8629.125458665123,7932.235869459877,8629.125458665123,7733947
2019-08-12,8567.63671875,8567.63671875,7850.251315550237,8280.682715621577,10883114
2019-08-19,8731.609375,9080.053386815905,8567.634792078123,8813.595875703704,12514495
2019-08-26,8588.1328125,8731.61019057959,8239.68797738023,8547.139162940503,8351852
2019-09-02,8690.6171875,8813.597354569467,8383.165979068966,8588.133451356323,5494414
2019-09-09,9080.0537109375,9121.047358131278,8526.642241471905,8649.622392295978,9346129
2019-09-16,9592.4736328125,9756.447453203775,9100.552171638676,9121.048602653571,15561601
2019-09-23,10022.9033203125,10248.367186492393,9510.484723760708,9592.47201551189,14126916
2019-09-30,9510.486328125,10207.376053299613,9510.486328125,10166.38240050863,12648341
2019-10-07,9326.015625,9674.459679953197,9162.041812535437,9612.969599123653,7675022
2019-10-14,9223.53125,9735.949872432577,9182.537602053939,9510.485204107878,6679305
2019-10-21,9408.0029296875,9510.48666996995,9039.061622822159,9080.055277086618,8330499
2019-10-28,9797.439453125,9817.93588068207,9305.517284182977,9489.988295225545,9174497
2019-11-04,10473.8330078125,10617.3095981916,9838.434193753465,9838.434193753465,19208756
2019-11-11,10248.369140625,10617.310442339618,10248.369140625,10432.840186861002,12381699
2019-11-18,9838.4345703125,10371.349674064935,9756.44726630873,10248.368718059282,11189124
2019-11-25,9592.4736328125,9961.414926382213,9469.493465208387,9838.434758778098,7403442
2019-12-02,9797.439453125,9899.923172424818,9489.988295225545,9674.458515510876,2352398
2019-12-09,9367.0087890625,9899.923849569508,9305.517920670907,9776.942903543613,8252733
2019-12-16,8383.1650390625,9530.982438863683,8280.681314410349,9305.517770174583,7359058
2019-12-23,8933.1904296875,8933.1904296875,8515.752234130488,8557.495490023399,4540276
2019-12-30,8849.703125,9079.294253661144,8724.470941449099,8933.190442134706,4428672
2020-01-06,8766.21484375,8849.702964604092,8432.263970798724,8807.958904177045,8947754
2020-01-13,9016.6787109375,9225.398215012821,8766.2151450006,8787.087578547676,9525899
2020-01-20,9267.142578125,9267.142578125,8954.06331183463,8954.06331183463,4105952
2020-01-27,8035.69873046875,9267.14348143971,8035.69873046875,9267.14348143971,10427142
2020-02-03,7847.85009765625,8077.441238455434,7493.0275719179845,7513.899200996963,15010677
2020-02-10,8014.82568359375,8014.82568359375,7597.386652986261,7680.874781200805,12325087
2020-02-17,7868.72412109375,8286.162423605188,7847.85168256688,8014.827164618008,11766438
2020-02-24,7159.07568359375,7680.874449305892,6992.10023961238,7639.130387002404,13189411
2020-03-02,7576.5146484375,7764.362525003614,7179.948072133872,7263.435390982363,9178508
2020-03-09,5844.14404296875,7138.204400344546,5510.1927362359675,7054.716271699118,16044398
2020-03-16,5823.2724609375,6052.863624610545,5238.857930943008,5677.168627130706,13859029
2020-03-23,5155.36962890625,5635.424339608002,5134.497597437414,5551.936616348953,15408753
2020-03-30,5301.4736328125,5301.4736328125,4508.339972446697,4842.2909025762265,12183736
2020-04-06,6449.4296875,6616.405127394257,5531.064365465305,5593.680054771581,29993109
2020-04-13,7012.97314453125,7179.94859973049,6282.45482345602,6386.814583609624,19454482
2020-04-20,7159.07568359375,7263.435436736178,6282.454401383417,7138.204055058297,21900609
2020-04-27,6887.7412109375,7263.43620072014,6825.125513512505,7242.564569989364,7595342
2020-05-04,7200.81982421875,7472.155024293793,6470.301946892382,6762.5091783461885,21588316
2020-05-11,7743.4912109375,8014.82644558233,7263.436441145464,7367.796208719068,24214747
2020-05-18,7722.61962890625,8077.442196739631,7660.003929008165,7743.491260461379,14930619
2020-05-25,7847.85009765625,8348.77644264518,7722.618712717169,7722.618712717169,28214271
2020-06-01,8348.77734375,8453.137110873919,7889.595012590913,7931.339080487018,25172242
2020-06-08,8035.69873046875,8724.472217166633,7555.64396974337,8348.777222043844,21692552
2020-06-15,8098.31396484375,8119.185594675492,7493.027842164248,8077.441529779374,23482055
2020-06-22,7993.95458984375,8661.85643938678,7910.466456034535,8160.930052229507,27342026
2020-06-29,7931.33984375,8035.699620916856,7513.900735082575,7889.5957718367035,14995229
2020-07-06,8056.57080078125,8265.290343366878,7993.955099052107,8056.57080078125,13267828
2020-07-13,8292.345703125,8421.241993624048,8120.483706193671,8356.793848374524,12591414
2020-07-20,7411.55419921875,8335.31337583498,7347.106038766081,8292.347659267203,20224505
2020-07-27,7089.31298828125,7368.5889193251405,6874.485635908349,7089.31298828125,24202677
2020-08-03,7368.587890625,7561.933185246754,7046.347114251948,7046.347114251948,18270025
2020-08-10,7690.83056640625,7884.175887942845,7411.554635474086,7454.520354570889,24900424
2020-08-17,7755.27783203125,7798.243546149521,7497.485204917508,7583.415804356108,16168999
2020-08-24,8099.0029296875,8270.864961893312,7819.726194955344,7841.209466979798,33411901
2020-08-31,8378.2783203125,8507.174629339554,7905.657139216786,8120.484873460482,30247485
2020-09-07,8528.658203125,8657.555358056541,8184.934114236934,8464.21004005824,31682882
2020-09-14,8893.865234375,8915.347678331276,8442.727280909266,8571.623602242908,33226107
2020-09-21,8679.0361328125,9001.277714939331,8657.553692189857,8958.312004896181,26057346
2020-09-28,9366.486328125,9645.763093106674,8722.003844746368,8850.900175662484,38485604
2020-10-05,9688.7265625,9731.69227609998,9302.03679769604,9495.382094496987,29351478
2020-10-12,9645.76171875,9817.623745083429,9323.520108575594,9796.140473793039,23982947
2020-10-19,9495.3818359375,10075.416052950126,9237.588390155272,9796.140165351842,31782435
2020-10-26,8893.865234375,9710.210536683371,8679.037479620272,9495.382781928642,24768733
2020-11-02,9302.03515625,9516.862857543269,8915.345459681675,9022.759310328309,17805143
2020-11-09,9839.107421875,9968.00375059541,9323.521278195318,9323.521278195318,32465624
2020-11-16,10053.9345703125,10075.417014178052,9667.244779146635,9989.486409917854,29516948
2020-11-23,10569.5205078125,10633.968667143397,9925.038085705552,10096.900120187269,37253543
2020-11-30,10548.037109375,10848.795435290498,10204.313071529315,10612.485262871329,29489056
2020-12-07,11794.037109375,11987.382401212873,10548.037248545263,10569.519690394844,76617494
2020-12-14,12545.935546875,12588.901264062482,11729.590235504824,12030.349427019206,51597367
2020-12-21,13319.314453125,13383.762611178525,11772.555344648576,12760.762644930508,57606936
2020-12-28,13491.1767578125,13877.866542773992,13104.48697285101,13663.038792373389,35491931
2021-01-04,14183.931640625,14444.985030814816,13705.332359808292,14314.458335719908,4600343
2021-01-11,14858.3212890625,15010.602156910143,13574.805961619008,14227.44029064907,7175515
2021-01-18,13400.7685546875,14901.828860875952,12552.34338317608,14901.828860875952,6523850
2021-01-25,11703.91796875,13814.104188983889,10529.175254281832,13161.469067852291,5548358
2021-02-01,12182.5185546875,12313.045257443295,10507.422232435936,11573.392543024998,4545608
2021-02-08,11943.216796875,12704.62441393251,11529.88173689819,12313.043521587737,1245788
2021-02-15,12639.361328125,12965.678884911347,11943.217039124556,11943.217039124556,2528732
2021-02-22,12682.87109375,13030.942834807149,12508.835223221426,12726.379431921232,3103773
2021-03-01,13487.787109375,13814.10468157686,12791.64362676934,13009.187835622697,5281222
2021-03-08,14140.421875,14444.98528801942,13379.015021013938,13792.35012236173,4983015
2021-03-15,14227.439453125,14314.457806156513,13618.313499748,14140.421100093487,3298536
2021-03-22,12878.6611328125,14270.949775543879,12682.871093206697,14183.931420642712,3454820
2021-03-29,14227.439453125,14575.511186688658,13030.942554269475,13161.469244535549,3301142
2021-04-05,14662.529296875,14901.82850482652,14270.949232562249,14575.510945284712,4025418
2021-04-12,13922.8759765625,15228.145310862343,13705.330947632337,14858.319433105977,5070756
2021-04-19,13705.3310546875,14488.491989959924,12878.660106151809,14314.45697259374,3510839
2021-04-26,13357.259765625,13792.349001421373,13009.187201994255,13792.349001421373,1833156
2021-05-03,13814.103515625,14096.911886473825,13052.695911419087,13357.25928881391,2961022
2021-05-10,15402.185546875,15576.220602897858,13618.31573162403,13748.843282563175,7247652
2021-05-17,16014.1865234375,16589.281511146906,15107.305768969913,15837.233431823575,6301987
2021-05-24,16567.1640625,16699.878037967665,15881.473767008149,16058.425165401468,5111763
2021-05-31,18491.51953125,18845.425746478977,16677.759565000477,16943.187519731484,6449875
2021-06-07,17429.8046875,18491.518132822297,16058.424180616394,18226.090198164373,51786874
2021-06-14,19730.185546875,20128.32917319934,17297.09148682743,17474.044588902845,81539120
2021-06-21,21389.115234375,21389.115234375,19243.567756038905,19464.75828810204,59304985
2021-06-28,24109.7578125,24994.519942872274,21455.47312807392,22074.80559532007,55765680
2021-07-05,21278.515625,24109.752833485138,21145.801674189668,24109.752833485138,14422697
2021-07-12,21322.7578125,21322.7578125,19862.90232012827,21278.52038789144,19376893
2021-07-19,20017.734375,21256.40099816285,19420.520628363305,20349.520169062765,48570134
2021-07-26,21167.923828125,21455.472190608274,19464.757484252048,19929.2572410637,47493410
2021-08-02,21809.37890625,22384.473983073192,20902.498011256794,21145.807269909972,1293826915
2021-08-09,23401.951171875,23401.951171875,21632.42673109284,21676.66415943603,59839298
2021-08-16,25215.708984375,25658.08831671101,23888.565867295063,23932.803288521474,63044584
2021-08-23,23667.375,25746.564487519947,22517.184998108514,25215.708613841176,70003688
